,a2i,vowels,binary
46,melodic,3,0000000000000000000001101101110010111011001101111110010011010011100011
47,orban,2,0000000000000000000000000000000000011011111110010110001011000011101110
48,converging,3,1100011110111111011101110110110010111100101100111110100111011101100111
50,improper,3,0000000000000011010011101101111000011100101101111111000011001011110010
51,order,2,0000000000000000000000000000000000011011111110010110010011001011110010
52,bursting,2,0000000000000011000101110101111001011100111110100110100111011101100111
53,dasarathy,3,0000000110010011000011110011110000111100101100001111010011010001111001
54,snapp,1,0000000000000000000000000000000000011100111101110110000111100001110000
55,intention,4,0000000110100111011101110100110010111011101110100110100111011111101110
56,post,1,0000000000000000000000000000000000000000001110000110111111100111110100
58,tube,2,0000000000000000000000000000000000000000001110100111010111000101100101
59,goldfish,2,0000000000000011001111101111110110011001001100110110100111100111101000
60,turing,2,0000000000000000000000000000111010011101011110010110100111011101100111
61,coughlan,3,0000000000000011000111101111111010111001111101000110110011000011101110
62,correct,2,0000000000000000000001100011110111111100101110010110010111000111110100
63,blue,2,0000000000000000000000000000000000000000001100010110110011101011100101
64,invert,2,0000000000000000000000000000110100111011101110110110010111100101110100
65,locked,2,0000000000000000000000000000110110011011111100011110101111001011100100
68,rewrite,3,0000000000000000000001110010110010111101111110010110100111101001100101
69,impedance,4,0000000110100111011011110000110010111001001100001110111011000111100101
70,involve,3,0000000000000000000001101001110111011101101101111110110011101101100101
71,dejong,2,0000000000000000000000000000110010011001011101010110111111011101100111
72,planes,2,0000000000000000000000000000111000011011001100001110111011001011110011
73,seeing,3,0000000000000000000000000000111001111001011100101110100111011101100111
74,vapnik,2,0000000000000000000000000000111011011000011110000110111011010011101011
75,murata,3,0000000000000000000000000000110110111101011110010110000111101001100001
76,bell,1,0000000000000000000000000000000000000000001100010110010111011001101100
77,stepsize,3,0000000000000011100111110100110010111100001110011110100111110101100101
78,properties,4,1110000111001011011111110000110010111100101110100110100111001011110011
79,monaco,3,0000000000000000000000000000110110111011111101110110000111000111101111
80,zhu,1,0000000000000000000000000000000000000000000000000111101011010001110101
81,janet,2,0000000000000000000000000000000000011010101100001110111011001011110100
82,burl,1,0000000000000000000000000000000000000000001100010111010111100101101100
84,node,2,0000000000000000000000000000000000000000001101110110111111001001100101
85,scintigram,3,1110011110001111010011101110111010011010011100111111001011000011101101
86,opera,3,0000000000000000000000000000000000011011111110000110010111100101100001
88,cooperate,5,0000000110001111011111101111111000011001011110010110000111101001100101
89,dual,2,0000000000000000000000000000000000000000001100100111010111000011101100
90,worm,1,0000000000000000000000000000000000000000001110111110111111100101101101
91,harbor,2,0000000000000000000000000000110100011000011110010110001011011111110010
93,undirected,4,1110101110111011001001101001111001011001011100011111010011001011100100
94,penalizing,4,1110000110010111011101100001110110011010011111010110100111011101100111
95,narrow,2,0000000000000000000000000000110111011000011110010111001011011111110111
96,zhao,2,0000000000000000000000000000000000000000001111010110100011000011101111
97,yen,1,0000000000000000000000000000000000000000000000000111100111001011101110
98,include,3,0000000000000000000001101001110111011000111101100111010111001001100101
99,incorrect,3,0000000110100111011101100011110111111100101110010110010111000111110100
100,harrison,3,0000000000000011010001100001111001011100101101001111001111011111101110
101,material,4,0000000000000011011011100001111010011001011110010110100111000011101100
102,compared,3,0000000000000011000111101111110110111100001100001111001011001011100100
103,octaves,3,0000000000000000000001101111110001111101001100001111011011001011110011
104,malignant,3,0000000110110111000011101100110100111001111101110110000111011101110100
106,repeatedly,4,1110010110010111100001100101110000111101001100101110010011011001111001
107,rmhc,0,0000000000000000000000000000000000000000001110010110110111010001100011
108,jmi,1,0000000000000000000000000000000000000000000000000110101011011011101001
109,implement,3,0000000110100111011011110000110110011001011101101110010111011101110100
110,tempting,2,0000000000000011101001100101110110111100001110100110100111011101100111
111,entirely,3,0000000000000011001011101110111010011010011110010110010111011001111001
112,miss,1,0000000000000000000000000000000000000000001101101110100111100111110011
113,collapsed,3,0000000110001111011111101100110110011000011110000111001111001011100100
115,propaga,3,0000000000000000000001110000111001011011111110000110000111001111100001
116,hnear,2,0000000000000000000000000000000000011010001101110110010111000011110010
117,assignment,3,1100001111001111100111101001110011111011101101101110010111011101110100
118,undergoing,4,1110101110111011001001100101111001011001111101111110100111011101100111
119,estima,3,0000000000000000000000000000110010111100111110100110100111011011100001
120,atomic,3,0000000000000000000000000000110000111101001101111110110111010011100011
122,mflop,1,0000000000000000000000000000000000011011011100110110110011011111110000
123,rtdp,0,0000000000000000000000000000000000000000001110010111010011001001110000
124,names,2,0000000000000000000000000000000000011011101100001110110111001011110011
125,frontal,2,0000000000000000000001100110111001011011111101110111010011000011101100
126,avenue,4,0000000000000000000000000000110000111101101100101110111011101011100101
127,taxi,2,0000000000000000000000000000000000000000001110100110000111110001101001
128,excited,3,0000000000000000000001100101111100011000111101001111010011001011100100
129,bisection,4,0000000110001011010011110011110010111000111110100110100111011111101110
130,annealing,4,0000000110000111011101101110110010111000011101100110100111011101100111
132,morris,2,0000000000000000000000000000110110111011111110010111001011010011110011
134,mandelbrot,3,1101101110000111011101100100110010111011001100010111001011011111110100
135,recoding,3,0000000000000011100101100101110001111011111100100110100111011101100111
137,largest,2,0000000000000000000001101100110000111100101100111110010111100111110100
138,deter,2,0000000000000000000000000000000000011001001100101111010011001011110010
140,lnt,0,0000000000000000000000000000000000000000000000000110110011011101110100
141,deci,2,0000000000000000000000000000000000000000001100100110010111000111101001
142,mutation,4,0000000000000011011011110101111010011000011110100110100111011111101110
144,sparser,2,0000000000000000000001110011111000011000011110010111001111001011110010
145,strated,2,0000000000000000000001110011111010011100101100001111010011001011100100
146,clinical,3,0000000000000011000111101100110100111011101101001110001111000011101100
147,locking,2,0000000000000000000001101100110111111000111101011110100111011101100111
148,cgd,0,0000000000000000000000000000000000000000000000000110001111001111100100
149,schmidt,1,0000000000000000000001110011110001111010001101101110100111001001110100
150,estimated,4,0000000110010111100111110100110100111011011100001111010011001011100100
151,evidenced,4,0000000110010111101101101001110010011001011101110110001111001011100100
153,leaning,3,0000000000000000000001101100110010111000011101110110100111011101100111
155,testbed,2,0000000000000000000001110100110010111100111110100110001011001011100100
156,lend,1,0000000000000000000000000000000000000000001101100110010111011101100100
157,ild,1,0000000000000000000000000000000000000000000000000110100111011001100100
158,fmri,1,0000000000000000000000000000000000000000001100110110110111100101101001
159,fsa,1,0000000000000000000000000000000000000000000000000110011011100111100001
160,osuna,3,0000000000000000000000000000000000011011111110011111010111011101100001
161,conjugate,4,0000000110001111011111101110110101011101011100111110000111101001100101
162,icant,2,0000000000000000000000000000000000011010011100011110000111011101110100
163,roger,2,0000000000000000000000000000000000011100101101111110011111001011110010
164,stimulated,4,1110011111010011010011101101111010111011001100001111010011001011100100
166,ously,2,0000000000000000000000000000000000011011111110101111001111011001111001
167,ques,2,0000000000000000000000000000000000000000001110001111010111001011110011
168,shattered,3,0000000111001111010001100001111010011101001100101111001011001011100100
169,kopell,2,0000000000000000000000000000110101111011111110000110010111011001101100
170,clude,2,0000000000000000000000000000000000011000111101100111010111001001100101
171,neuronlike,5,1101110110010111101011110010110111111011101101100110100111010111100101
173,estimation,5,1100101111001111101001101001110110111000011110100110100111011111101110
174,automaton,5,0000000110000111101011110100110111111011011100001111010011011111101110
175,engine,3,0000000000000000000000000000110010111011101100111110100111011101100101
176,moving,2,0000000000000000000000000000110110111011111110110110100111011101100111
177,lobe,2,0000000000000000000000000000000000000000001101100110111111000101100101
178,preferably,3,1110000111001011001011100110110010111100101100001110001011011001111001
179,neigh,2,0000000000000000000000000000000000011011101100101110100111001111101000
181,iceg,2,0000000000000000000000000000000000000000001101001110001111001011100111
182,vth,0,0000000000000000000000000000000000000000000000000111011011101001101000
183,feigenbaum,5,1100110110010111010011100111110010111011101100010110000111101011101101
184,brownlow,2,0000000000000011000101110010110111111101111101110110110011011111110111
185,fixing,2,0000000000000000000000000000110011011010011111000110100111011101100111
186,truth,1,0000000000000000000000000000000000011101001110010111010111101001101000
187,silence,3,0000000000000000000001110011110100111011001100101110111011000111100101
188,matthew,2,0000000000000000000001101101110000111101001110100110100011001011110111
189,tagged,2,0000000000000000000000000000111010011000011100111110011111001011100100
190,clique,3,0000000000000000000000000000110001111011001101001111000111101011100101
191,tsodyk,1,0000000000000000000000000000111010011100111101111110010011110011101011
192,viewing,3,0000000000000000000001110110110100111001011110111110100111011101100111
193,plastic,2,0000000000000000000001110000110110011000011110011111010011010011100011
194,shorter,2,0000000000000000000001110011110100011011111110010111010011001011110010
195,exchange,3,0000000000000011001011111000110001111010001100001110111011001111100101
196,slc,0,0000000000000000000000000000000000000000000000000111001111011001100011
197,ori,2,0000000000000000000000000000000000000000000000000110111111100101101001
198,overlap,3,0000000000000000000001101111111011011001011110010110110011000011110000
199,copyright,2,0000000110001111011111110000111100111100101101001110011111010001110100
201,pact,1,0000000000000000000000000000000000000000001110000110000111000111110100
203,proof,2,0000000000000000000000000000000000011100001110010110111111011111100110
204,variance,4,0000000000000011101101100001111001011010011100001110111011000111100101
205,resides,3,0000000000000000000001110010110010111100111101001110010011001011110011
206,laser,2,0000000000000000000000000000000000011011001100001111001111001011110010
207,fol,1,0000000000000000000000000000000000000000000000000110011011011111101100
208,annealed,4,0000000000000011000011101110110111011001011100001110110011001011100100
209,mag,1,0000000000000000000000000000000000000000000000000110110111000011100111
210,regardless,3,1110010110010111001111100001111001011001001101100110010111100111110011
211,metric,2,0000000000000000000000000000110110111001011110100111001011010011100011
212,induced,3,0000000000000000000001101001110111011001001110101110001111001011100100
213,pilot,2,0000000000000000000000000000000000011100001101001110110011011111110100
214,mtb,0,0000000000000000000000000000000000000000000000000110110111101001100010
215,seibert,3,0000000000000000000001110011110010111010011100010110010111100101110100
216,masked,2,0000000000000000000000000000110110111000011110011110101111001011100100
217,area,3,0000000000000000000000000000000000000000001100001111001011001011100001
218,shed,1,0000000000000000000000000000000000000000001110011110100011001011100100
219,satiation,5,0000000111001111000011110100110100111000011110100110100111011111101110
220,trning,1,0000000000000000000000000000111010011100101101110110100111011101100111
221,beer,2,0000000000000000000000000000000000000000001100010110010111001011110010
223,www,0,0000000000000000000000000000000000000000000000000111011111101111110111
224,diffusor,3,0000000000000011001001101001110011011001101110101111001111011111110010
225,amplified,4,0000000110000111011011110000110110011010011100110110100111001011100100
226,moid,2,0000000000000000000000000000000000000000001101101110111111010011100100
227,profound,3,0000000000000011100001110010110111111001101101111111010111011101100100
228,syn,0,0000000000000000000000000000000000000000000000000111001111110011101110
229,yellow,2,0000000000000000000000000000111100111001011101100110110011011111110111
230,skrzypek,1,0000000000000011100111101011111001011110101111001111000011001011101011
231,waves,2,0000000000000000000000000000000000011101111100001111011011001011110011
232,dation,3,0000000000000000000000000000110010011000011110100110100111011111101110
234,situation,5,0000000111001111010011110100111010111000011110100110100111011111101110
235,mod,1,0000000000000000000000000000000000000000000000000110110111011111100100
236,vesicle,3,0000000000000000000001110110110010111100111101001110001111011001100101
237,buffered,3,0000000000000011000101110101110011011001101100101111001011001011100100
239,red,1,0000000000000000000000000000000000000000000000000111001011001011100100
240,pgo,1,0000000000000000000000000000000000000000000000000111000011001111101111
241,kirk,1,0000000000000000000000000000000000000000001101011110100111100101101011
243,sardnet,2,0000000000000000000001110011110000111100101100100110111011001011110100
244,sajda,2,0000000000000000000000000000000000011100111100001110101011001001100001
245,blumer,2,0000000000000000000000000000110001011011001110101110110111001011110010
246,wiring,2,0000000000000000000000000000111011111010011110010110100111011101100111
247,maryland,2,0000000000000011011011100001111001011110011101100110000111011101100100
248,economy,3,0000000000000000000001100101110001111011111101110110111111011011111001
249,leaves,3,0000000000000000000000000000110110011001011100001111011011001011110011
251,timation,4,0000000000000011101001101001110110111000011110100110100111011111101110
253,maze,2,0000000000000000000000000000000000000000001101101110000111110101100101
254,utan,2,0000000000000000000000000000000000000000001110101111010011000011101110
256,hyperprior,3,1101000111100111100001100101111001011100001110010110100111011111110010
257,english,2,0000000000000000000001100101110111011001111101100110100111100111101000
258,ceil,2,0000000000000000000000000000000000000000001100011110010111010011101100
259,cid,1,0000000000000000000000000000000000000000000000000110001111010011100100
260,yield,2,0000000000000000000000000000000000011110011101001110010111011001100100
261,neurol,3,0000000000000000000000000000110111011001011110101111001011011111101100
262,skip,1,0000000000000000000000000000000000000000001110011110101111010011110000
263,lempel,2,0000000000000000000000000000110110011001011101101111000011001011101100
264,xii,2,0000000000000000000000000000000000000000000000000111100011010011101001
265,capability,4,1100011110000111100001100001110001011010011101100110100111101001111001
266,ciated,3,0000000000000000000000000000110001111010011100001111010011001011100100
267,foreground,4,1100110110111111100101100101110011111100101101111111010111011101100100
268,hughes,2,0000000000000000000000000000110100011101011100111110100011001011110011
269,dure,2,0000000000000000000000000000000000000000001100100111010111100101100101
270,nction,2,0000000000000000000000000000110111011000111110100110100111011111101110
271,logically,3,0000000110110011011111100111110100111000111100001110110011011001111001
272,fined,2,0000000000000000000000000000000000011001101101001110111011001011100100
273,comprising,3,1100011110111111011011110000111001011010011110011110100111011101100111
274,foster,2,0000000000000000000000000000110011011011111110011111010011001011110010
275,simplified,4,1110011110100111011011110000110110011010011100110110100111001011100100
276,circumvent,3,1100011110100111100101100011111010111011011110110110010111011101110100
277,bank,1,0000000000000000000000000000000000000000001100010110000111011101101011
278,uniformly,3,0000000111010111011101101001110011011011111110010110110111011001111001
279,word,1,0000000000000000000000000000000000000000001110111110111111100101100100
282,diagnose,4,0000000000000011001001101001110000111001111101110110111111100111100101
285,taylor,2,0000000000000000000000000000111010011000011111001110110011011111110010
286,freezing,3,0000000000000011001101110010110010111001011111010110100111011101100111
287,occupancy,3,0000000110111111000111100011111010111100001100001110111011000111111001
288,zecchina,3,0000000000000011110101100101110001111000111101000110100111011101100001
289,lockery,2,0000000000000000000001101100110111111000111101011110010111100101111001
290,mfn,0,0000000000000000000000000000000000000000000000000110110111001101101110
291,yariv,2,0000000000000000000000000000000000011110011100001111001011010011110110
292,classify,2,0000000000000011000111101100110000111100111110011110100111001101111001
293,real,2,0000000000000000000000000000000000000000001110010110010111000011101100
294,lea,2,0000000000000000000000000000000000000000000000000110110011001011100001
295,discuss,2,0000000000000000000001100100110100111100111100011111010111100111110011
296,aiming,3,0000000000000000000000000000110000111010011101101110100111011101100111
297,coetzee,4,0000000000000000000001100011110111111001011110100111101011001011100101
298,hand,1,0000000000000000000000000000000000000000001101000110000111011101100100
299,pbil,1,0000000000000000000000000000000000000000001110000110001011010011101100
300,mosfet,2,0000000000000000000000000000110110111011111110011110011011001011110100
302,kronecker,3,0000000110101111100101101111110111011001011100011110101111001011110010
303,assuming,3,0000000000000011000011110011111001111101011101101110100111011101100111
304,intelli,3,0000000000000000000001101001110111011101001100101110110011011001101001
305,forgeries,4,0000000110011011011111110010110011111001011110010110100111001011110011
306,gradi,2,0000000000000000000000000000000000011001111110010110000111001001101001
307,silva,2,0000000000000000000000000000000000011100111101001110110011101101100001
308,lld,0,0000000000000000000000000000000000000000000000000110110011011001100100
309,botros,2,0000000000000000000000000000110001011011111110100111001011011111110011
310,acm,1,0000000000000000000000000000000000000000000000000110000111000111101101
311,html,0,0000000000000000000000000000000000000000001101000111010011011011101100
312,volatility,4,1110110110111111011001100001111010011010011101100110100111101001111001
313,tracking,2,0000000000000011101001110010110000111000111101011110100111011101100111
314,target,2,0000000000000000000000000000111010011000011110010110011111001011110100
315,aining,3,0000000000000000000000000000110000111010011101110110100111011101100111
316,expect,2,0000000000000000000000000000110010111110001110000110010111000111110100
317,craig,2,0000000000000000000000000000000000011000111110010110000111010011100111
318,concert,2,0000000000000000000001100011110111111011101100011110010111100101110100
319,wih,1,0000000000000000000000000000000000000000000000000111011111010011101000
320,lrta,1,0000000000000000000000000000000000000000001101100111001011101001100001
321,arrival,3,0000000000000000000001100001111001011100101101001111011011000011101100
322,lnp,0,0000000000000000000000000000000000000000000000000110110011011101110000
323,essential,4,0000000110010111100111110011110010111011101110100110100111000011101100
324,eval,2,0000000000000000000000000000000000000000001100101111011011000011101100
325,event,2,0000000000000000000000000000000000011001011110110110010111011101110100
326,ccr,0,0000000000000000000000000000000000000000000000000110001111000111110010
327,wrap,1,0000000000000000000000000000000000000000001110111111001011000011110000
328,longtin,2,0000000000000000000001101100110111111011101100111111010011010011101110
329,art2,1,0000000000000000000000000000000000000000000110000111100101110100110010
331,bob,1,0000000000000000000000000000000000000000000000000110001011011111100010
332,anneal,3,0000000000000000000000000000110000111011101101110110010111000011101100
334,notice,3,0000000000000000000000000000110111011011111110100110100111000111100101
335,owl,1,0000000000000000000000000000000000000000000000000110111111101111101100
336,drawback,2,0000000000000011001001110010110000111101111100010110000111000111101011
337,franco,2,0000000000000000000000000000110011011100101100001110111011000111101111
338,chua,2,0000000000000000000000000000000000000000001100011110100011101011100001
339,ranked,2,0000000000000000000000000000111001011000011101110110101111001011100100
340,regres,2,0000000000000000000000000000111001011001011100111111001011001011110011
341,zca,1,0000000000000000000000000000000000000000000000000111101011000111100001
342,proce,2,0000000000000000000000000000000000011100001110010110111111000111100101
343,hergert,2,0000000000000000000001101000110010111100101100111110010111100101110100
344,ties,2,0000000000000000000000000000000000000000001110100110100111001011110011
345,automate,5,0000000000000011000011110101111010011011111101101110000111101001100101
346,brunel,2,0000000000000000000000000000110001011100101110101110111011001011101100
347,friedrich,3,0000000110011011100101101001110010111001001110010110100111000111101000
348,hinder,2,0000000000000000000000000000110100011010011101110110010011001011110010
350,petersen,3,0000000000000011100001100101111010011001011110010111001111001011101110
351,load,2,0000000000000000000000000000000000000000001101100110111111000011100100
352,input,2,0000000000000000000000000000000000011010011101110111000011101011110100
353,cpu,1,0000000000000000000000000000000000000000000000000110001111100001110101
354,living,2,0000000000000000000000000000110110011010011110110110100111011101100111
355,plication,4,0000000111000011011001101001110001111000011110100110100111011111101110
357,helped,2,0000000000000000000000000000110100011001011101100111000011001011100100
358,hysteresis,3,1101000111100111100111110100110010111100101100101111001111010011110011
359,chaussee,4,0000000000000011000111101000110000111101011110011111001111001011100101
360,lab,1,0000000000000000000000000000000000000000000000000110110011000011100010
361,gave,2,0000000000000000000000000000000000000000001100111110000111101101100101
362,tebelskis,3,0000000111010011001011100010110010111011001110011110101111010011110011
363,tenth,1,0000000000000000000000000000000000011101001100101110111011101001101000
365,blocked,2,0000000000000000000001100010110110011011111100011110101111001011100100
366,weighed,3,0000000000000000000001110111110010111010011100111110100011001011100100
367,soulie,4,0000000000000000000000000000111001111011111110101110110011010011100101
368,converged,3,0000000110001111011111101110111011011001011110010110011111001011100100
369,kawato,3,0000000000000000000000000000110101111000011110111110000111101001101111
370,interfaced,4,1101001110111011101001100101111001011001101100001110001111001011100100
371,jenkin,2,0000000000000000000000000000110101011001011101110110101111010011101110
372,bernhard,2,0000000000000011000101100101111001011011101101000110000111100101100100
373,interest,3,0000000000000011010011101110111010011001011110010110010111100111110100
374,gomi,2,0000000000000000000000000000000000000000001100111110111111011011101001
375,unable,3,0000000000000000000000000000111010111011101100001110001011011001100101
376,endpoint,3,0000000000000011001011101110110010011100001101111110100111011101110100
377,anton,2,0000000000000000000000000000000000011000011101110111010011011111101110
378,iai,3,0000000000000000000000000000000000000000000000000110100111000011101001
379,vec,1,0000000000000000000000000000000000000000000000000111011011001011100011
380,bernardo,3,0000000000000011000101100101111001011011101100001111001011001001101111
381,service,3,0000000000000000000001110011110010111100101110110110100111000111100101
382,linearly,3,0000000000000011011001101001110111011001011100001111001011011001111001
383,founded,3,0000000000000000000001100110110111111101011101110110010011001011100100
384,venkatesh,3,0000000111011011001011101110110101111000011110100110010111100111101000
385,comput,2,0000000000000000000000000000110001111011111101101111000011101011110100
386,initiating,5,1101001110111011010011110100110100111000011110100110100111011101100111
387,hcnn,0,0000000000000000000000000000000000000000001101000110001111011101101110
388,areas,3,0000000000000000000000000000000000011000011110010110010111000011110011
389,mpc,0,0000000000000000000000000000000000000000000000000110110111100001100011
390,calculate,4,0000000110001111000011101100110001111101011101100110000111101001100101
391,triphones,3,0000000111010011100101101001111000011010001101111110111011001011110011
392,nofm,1,0000000000000000000000000000000000000000001101110110111111001101101101
393,silent,2,0000000000000000000000000000111001111010011101100110010111011101110100
394,subdivided,4,1110011111010111000101100100110100111101101101001110010011001011100100
395,hecht,1,0000000000000000000000000000000000011010001100101110001111010001110100
398,athe,2,0000000000000000000000000000000000000000001100001111010011010001100101
399,cir,1,0000000000000000000000000000000000000000000000000110001111010011110010
401,redish,2,0000000000000000000000000000111001011001011100100110100111100111101000
402,disordered,4,1100100110100111100111101111111001011001001100101111001011001011100100
403,forest,2,0000000000000000000000000000110011011011111110010110010111100111110100
404,began,2,0000000000000000000000000000000000011000101100101110011111000011101110
405,dbt,0,0000000000000000000000000000000000000000000000000110010011000101110100
406,daca76,2,0000000000000000000000000000001100100110000111000111100001110111110110
407,christoph,2,0000000110001111010001110010110100111100111110100110111111100001101000
408,tempt,1,0000000000000000000000000000000000011101001100101110110111100001110100
409,rewarded,3,0000000000000011100101100101111011111000011110010110010011001011100100
410,farther,2,0000000000000000000001100110110000111100101110100110100011001011110010
411,sigma,2,0000000000000000000000000000000000011100111101001110011111011011100001
413,cycle,1,0000000000000000000000000000000000011000111111001110001111011001100101
414,improving,3,0000000110100111011011110000111001011011111110110110100111011101100111
415,baum,2,0000000000000000000000000000000000000000001100010110000111101011101101
416,yaleu,3,0000000000000000000000000000000000011110011100001110110011001011110101
417,ormoneit,4,0000000000000011011111110010110110111011111101110110010111010011110100
418,instrument,3,1101001110111011100111110100111001011101011101101110010111011101110100
419,quicker,3,0000000000000000000001110001111010111010011100011110101111001011110010
420,accord,2,0000000000000000000000000000110000111000111100011110111111100101100100
421,tau,2,0000000000000000000000000000000000000000000000000111010011000011110101
422,projecting,3,1110000111001011011111101010110010111000111110100110100111011101100111
424,creating,3,0000000000000011000111110010110010111000011110100110100111011101100111
426,portrait,3,0000000000000011100001101111111001011101001110010110000111010011110100
427,belonging,3,0000000110001011001011101100110111111011101100111110100111011101100111
429,fail,2,0000000000000000000000000000000000000000001100110110000111010011101100
431,procedures,4,1110000111001011011111100011110010111001001110101111001011001011110011
432,lecar,2,0000000000000000000000000000000000011011001100101110001111000011110010
433,axonal,3,0000000000000000000000000000110000111110001101111110111011000011101100
435,mitral,2,0000000000000000000000000000110110111010011110100111001011000011101100
436,sidorowich,4,1110011110100111001001101111111001011011111110111110100111000111101000
437,ascending,3,0000000110000111100111100011110010111011101100100110100111011101100111
438,curved,2,0000000000000000000000000000110001111101011110010111011011001011100100
439,sky,0,0000000000000000000000000000000000000000000000000111001111010111111001
440,negatives,4,0000000110111011001011100111110000111101001101001111011011001011110011
443,subvector,3,0000000111001111101011100010111011011001011100011111010011011111110010
444,table,2,0000000000000000000000000000000000011101001100001110001011011001100101
445,grained,3,0000000000000000000001100111111001011000011101001110111011001011100100
446,correcting,3,1100011110111111100101110010110010111000111110100110100111011101100111
447,stat,1,0000000000000000000000000000000000000000001110011111010011000011110100
448,worker,2,0000000000000000000000000000111011111011111110010110101111001011110010
449,ported,2,0000000000000000000000000000111000011011111110010111010011001011100100
450,referring,3,0000000111001011001011100110110010111100101110010110100111011101100111
451,heart,2,0000000000000000000000000000000000011010001100101110000111100101110100
452,lengthy,1,0000000000000000000001101100110010111011101100111111010011010001111001
453,ruth,1,0000000000000000000000000000000000000000001110010111010111101001101000
454,hogden,2,0000000000000000000000000000110100011011111100111110010011001011101110
455,nil000,1,0000000000000000000000000000000110111011010011101100110000110000110000
456,move,2,0000000000000000000000000000000000000000001101101110111111101101100101
457,mukherjee,4,0000000110110111101011101011110100011001011110010110101011001011100101
458,switching,2,0000000111001111101111101001111010011000111101000110100111011101100111
459,servo,2,0000000000000000000000000000000000011100111100101111001011101101101111
460,malik,2,0000000000000000000000000000000000011011011100001110110011010011101011
462,marc,1,0000000000000000000000000000000000000000001101101110000111100101100011
463,flaw,1,0000000000000000000000000000000000000000001100110110110011000011110111
464,trading,2,0000000000000000000001110100111001011000011100100110100111011101100111
465,employing,3,0000000110010111011011110000110110011011111111001110100111011101100111
466,multiuser,4,0000000110110111101011101100111010011010011110101111001111001011110010
467,underlie,4,0000000000000011101011101110110010011001011110010110110011010011100101
468,henis,2,0000000000000000000000000000000000011010001100101110111011010011110011
469,succeeded,4,0000000111001111101011100011110001111001011100101110010011001011100100
471,puter,2,0000000000000000000000000000000000011100001110101111010011001011110010
472,typically,2,0000000111010011110011110000110100111000111100001110110011011001111001
473,centered,3,0000000000000011000111100101110111011101001100101111001011001011100100
474,trast,1,0000000000000000000000000000000000011101001110010110000111100111110100
475,wold,1,0000000000000000000000000000000000000000001110111110111111011001100100
476,elbow,2,0000000000000000000000000000000000011001011101100110001011011111110111
478,desimone,4,0000000000000011001001100101111001111010011101101110111111011101100101
480,nih,1,0000000000000000000000000000000000000000000000000110111011010011101000
481,rising,2,0000000000000000000000000000111001011010011110011110100111011101100111
482,requested,4,0000000111001011001011110001111010111001011110011111010011001011100100
483,myocardial,4,1101101111100111011111100011110000111100101100100110100111000011101100
